TABELA,CIDADE,REGIÃO
RS - INTERIOR,CRUZ ALTA (VER CEP POR LOGRADOUROS),DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,FORTALEZA DOS VALOS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,JULIO DE CASTILHOS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,QUEVEDOS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PINHAL GRANDE,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,IVORA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,TUPANCIRETA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,JOIA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,IBIRUBA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,QUINZE DE NOVEMBRO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SANTA BARBARA DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SALDANHA MARINHO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PEJUCARA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PANAMBI,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CONDOR,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PALMEIRA DAS MISSÕES,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,LAJEADO DO BUGRE,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO JOSÉ DAS MISSÕES,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SAGRADA FAMILIA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,BOA VISTA DAS MISSÕES,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,NOVO BARREIRO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CERRO GRANDE,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PINHAL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,JABOTICABA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,RODEIO BONITO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,NOVO TIRADENTES,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SEBERI,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,DOIS IRMAÕS DAS MISSÕES,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ERVAL SECO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,FREDERICO WESTPHALEN,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,TAQUARUCU DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,VISTA ALEGRE,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PALMITINHO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PINHEIRINHO DO VALE,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CAICARA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,VICENTE DUTRA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,IRAI,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,AMETISTA DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PLANALTO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ALPESTRE,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,TENENTE PORTELA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,DERRUBADAS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,BARRA DO GUARITA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,VISTA GAUCHA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,MIRAGUAI,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,REDENTORA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,BRAGA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CAMPO NOVO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,BOM PROGRESSO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CORONEL BICACO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SANTO AUGUSTO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO VALERIO DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,TRÊS PASSOS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CRISSIUMAL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,HUMAITA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SEDE NOVA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,TIRADENTES DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO MARTINHO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,IJUI,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CORONEL BARROS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,AUGUSTO PESTANA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,AJURICABA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CHIAPETTA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,INHACORA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CATUIPE,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SANTO ANGELO (VER CEP POR LOGRADOUROS),DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,VITORIA DAS MISSOES,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ENTRE IJUIS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,EUGENIO DE CASTRO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO MIGUEL DAS MISSOES,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,GIRUA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SANTA ROSA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ALEGRIA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,TRÊS DE MAIO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,INDEPENDENCIA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,BOA VISTA DO BURICA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,HORIZONTINA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,DOUTOR MAURICIO CARDOSO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,TUCUNDUVA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,TUPARENDI,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PORTO MAUA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ALECRIM,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,NOVO MACHADO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO JOSE DO INHACORA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SANTO CRISTO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CANDIDO GODOI,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CAMPINA DAS MISSOES,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PORTO LUCENA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PORTO VERA CRUZ,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PORTO XAVIER,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PASSO FUNDO (VER CEP POR LOGRADOUROS),DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ERNESTINA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,COXILHA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,MARAU,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,VILA MARIA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,GENTIL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CAMARGO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SERTAO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,NICOLAU VERGUEIRO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,MATO CASTELHANO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PONTAO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,GUAPORE,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,UNIAO DA SERRA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,DOIS LAJEADOS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO VALENTIM DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SERAFINA CORREA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,MONTAURI,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CASCA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SANTO ANTONIO DO PALMA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO DOMINGOS DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,VANINI,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SOLEDADE,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,MORMACO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,IBIRAPUITA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,TUNAS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,LAGOAO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,VICTOR GRAEFF,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,BARROS CASSAL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,FONTOURA XAVIER,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO JOSE DO HERVAL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ESPUMOSO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ALTO ALEGRE,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CAMPOS BORGES,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SALTO DO JACUI,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SELBACH,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,COLORADO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,NAO-ME-TOQUE,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,TAPERA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,LAGOA DOS TRÊS CANTOS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CARAZINHO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SANTO ANTONIO DO PLANALTO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,COQUEIROS DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CHAPADA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SARANDI,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,NOVA BOA VISTA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,BARRA FUNDA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,RONDINHA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,NONOAI,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,GRAMADO DOS LOUREIROS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,RIO DOS INDIOS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,TRINDADE DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO VALENTIM,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ENTRE RIOS DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,FAXINALZINHO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CAMPINAS DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,RONDA ALTA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,TRÊS PALMEIRAS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CONSTANTINA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,LIBERATO SALZANO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ENGENHO VELHO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ERECHIM,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,TRÊS ARROIOS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,JACUTINGA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PONTE PRETA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,BARAO DE COTEGIPE,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ERVAL GRANDE,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ITATIBA DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ARATIBA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,MARIANO MORO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,BARRA DO RIO AZUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,MARCELINO RAMOS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SEVERIANO DE ALMEIDA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,VIADUTOS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CARLOS GOMES,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,GAURAMA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,AUREA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CENTENARIO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SANANDUVA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PAIM FILHO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO JOÃO DA URTIGA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CACIQUE DOBLE,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO JOSE DO OURO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,TUPANCI DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,MACHADINHO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,MAXIMILIANO DE ALMEIDA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SANTO EXPEDITO DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,GETULIO VARGAS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,EREBANGO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,IPIRANGA DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ESTACAO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,IBIACA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,TAPEJARA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CHARRUA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,AGUA SANTA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CIRIACO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,DAVID CANABARRO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,MULITERNO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
Paraná,CANTA GALO,FOZ DO IGUAÇU- MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,LARANJEIRAS DO SUL, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,NOVA LARANJEIRAS, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,GUARANIAÇU, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,NOVA AURORA, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,CAFELÂNDIA, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,CORBÉLIA, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,BRAGANEY, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,CAMPO BONITO, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,QUEDAS DO IGUAÇU, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,CATANDUVAS, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,IBEMA, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,TRÊS BARRAS DO PARANÁ, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,BOA VISTA DA APARECIDA, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,CAPITÃO LEÔNIDAS MARQUES, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,SANTA LÚCIA, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,CASCAVEL, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,SANTA TEREZA DO OESTE, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,LINDOESTE, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,FORMOSA DO OESTE, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,JESUÍTAS, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,CÉU AZUL, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,VERA CRUZ DO OESTE, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,FOZ DO IGUAÇU, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,SANTA TEREZINHA DO ITAIPU, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,SÃO MIGUEL DO IGUAÇU, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,MEDIANEIRA, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,MATELÂNDIA, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,MISSAL, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,SANTA HELENA, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,SÃO JOSÉ DAS PALMEIRAS, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,TOLEDO, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,NOVA SANTA ROSA, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,OURO VERDE DO OESTE, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,ASSIS CHATEAUBRIAND, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,BRAGANTINA, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,QUATRO PONTES, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,TUPÃSSI, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,PATO BRAGADO, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,PALOTINA, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,MARECHAL CÂNDIDO RONDON, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,GUAÍRA, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,TERRA ROXA, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,MERCEDES, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,SARANDI, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,WITMARSUM, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,SÃO BENTO DO SUL, FOZ DO IGUAÇU - MEDIANEIRA - CASCAVEL E TOLEDO
Paraná,CURITIBA (VER CEP POR LOGRADOUROS),METROPOLITANA DE CURITIBA
Paraná,TIJUCAS DO SUL,METROPOLITANA DE CURITIBA
Paraná,PARANAGUA (VER CEP POR LOGRADOUROS),METROPOLITANA DE CURITIBA
Paraná,PONTA DO SUL,METROPOLITANA DE CURITIBA
Paraná,MATINHOS,METROPOLITANA DE CURITIBA
Paraná,GUARATUBA,METROPOLITANA DE CURITIBA
